,start,high,low,end,volume,USD,GBP,EUR,CAD,AUD,NZD,SGD
2018-06-02,23038.408,23154.314,22918.365,23067.488,250215.08,108.81315,144.92924,127.96529,84.278496,82.14619,76.613884,81.44965
2018-06-05,23251.709,23351.184,23169.668,23302.127,227203.84,109.62771,147.23953,128.45497,84.843704,83.07072,76.72594,82.03864
2018-06-06,23372.836,23463.666,23279.76,23400.512,202803.84,109.54988,146.0593,128.6797,84.91698,83.58315,77.216965,82.18384
2018-06-07,23461.057,23558.822,23367.322,23496.44,186273.28,109.6989,147.16875,129.25917,85.05638,83.83067,77.45895,82.437195
2018-06-08,23640.197,23733.691,23553.062,23674.19,205779.6,109.90015,147.91203,130.0165,85.361115,84.427155,77.79115,82.79716
2018-06-09,23437.791,23560.678,23322.633,23475.277,284518.25,109.348526,146.891,129.67337,84.7658,83.61559,77.26314,82.37853
2018-06-12,23546.002,23657.184,23462.533,23601.094,207059.72,109.12051,146.77374,129.02017,84.70935,83.361305,77.134224,82.11646
2018-06-13,23646.434,23749.691,23536.99,23672.162,234466.56,109.80689,146.87822,129.43588,84.96116,83.59238,77.31914,82.453804
2018-06-14,23658.07,23758.895,23562.29,23693.459,208840.94,109.98571,147.65396,129.8724,85.11435,83.59204,77.5116,82.64541
2018-06-15,23490.502,23594.146,23396.842,23528.627,207979.81,109.68703,147.28035,129.8815,84.97742,83.32111,77.47723,82.488335
2018-06-16,23515.102,23606.363,23424.17,23557.61,188295.12,110.289085,147.15715,128.16988,84.53912,82.634346,77.00402,82.20134
2018-06-19,23330.213,23428.535,23241.53,23379.684,156428.9,110.08646,146.29755,127.69026,83.745575,82.07575,76.50074,81.692345
2018-06-20,23034.324,23153.143,22929.248,23087.953,206047.56,109.549675,145.85056,127.74675,83.4835,81.43084,76.399284,81.39777
2018-06-21,23132.287,23241.94,23019.97,23174.232,220278.69,110.10102,145.78072,127.67238,83.43861,81.57177,76.42221,81.21612
2018-06-22,23221.36,23323.818,23111.586,23258.484,202727.12,110.197296,145.34444,127.39466,83.439705,81.49261,75.8082,81.38223
2018-06-23,23150.13,23257.318,23041.709,23189.635,192108.75,109.781265,145.962,127.60982,83.28986,81.56515,76.02735,81.25607
2018-06-26,22979.094,23090.646,22852.59,23004.51,213645.0,109.14514,145.3296,127.33461,82.5855,81.13306,75.84243,80.570175
2018-06-27,22975.14,23088.861,22856.57,23008.36,208588.56,109.537415,145.86877,128.12798,83.03168,81.58112,75.97806,80.69066
2018-06-28,22925.465,23021.617,22793.709,22938.064,191963.47,109.66111,145.7291,127.74776,82.798294,81.14203,75.20793,80.785934
2018-06-29,22771.834,22889.387,22651.32,22817.408,239746.0,109.71717,144.19334,126.87191,82.64325,80.71782,74.598946,80.44588
2018-06-30,22972.344,23062.959,22865.387,23003.182,173821.25,110.222595,144.22539,127.127266,83.41134,81.09939,74.44684,80.81598
2018-07-03,22498.936,22639.465,22359.605,22540.676,377994.56,110.21619,145.08136,128.63672,83.702705,81.178,74.77799,80.90142
2018-07-04,22474.443,22621.47,22341.084,22531.623,469937.28,110.61305,145.81181,128.98465,84.366615,81.4826,74.41524,81.02406
2018-07-05,22120.453,22259.842,21997.123,22169.648,397045.1,110.25761,145.80347,128.9177,84.09424,81.54471,74.39955,81.01244
2018-07-06,21982.238,22110.545,21855.738,22022.924,369548.8,110.15099,146.17744,128.75662,83.657074,81.02647,74.294464,80.70327
2018-07-07,22244.594,22352.816,22138.477,22278.406,312042.88,110.68303,146.18895,129.2447,84.17646,81.58133,75.04479,81.034096
2018-07-10,22551.506,22637.295,22433.643,22555.982,250642.27,110.78191,147.19026,130.07138,84.400955,82.13931,75.60838,81.45982
2018-07-11,22675.525,22769.182,22575.383,22700.191,250628.56,110.84449,147.0409,130.56024,84.68531,82.654175,75.966484,81.87778
2018-07-12,22364.414,22470.746,22259.473,22405.885,253284.38,110.93907,147.40451,130.34514,84.29151,82.32077,75.61454,81.59278
2018-07-13,22684.084,22756.297,22592.367,22709.555,178336.88,112.49029,148.44449,130.72316,85.13234,82.813934,75.84866,82.327156
2018-07-14,22984.098,23058.207,22864.3,22979.906,288922.88,112.66801,147.79807,131.13043,85.534966,83.27383,76.30704,82.61696
2018-07-18,23114.941,23201.607,23017.156,23140.59,244685.67,112.44994,148.48573,131.32187,85.73849,83.37625,76.393715,82.55773
2018-07-19,23268.613,23343.629,23166.266,23282.67,223109.78,112.82382,147.891,131.21036,85.697,83.29269,76.62113,82.719925
2018-07-20,23155.816,23233.816,23040.043,23157.914,235392.34,112.53378,147.0819,131.07771,85.541336,83.28249,76.55553,82.494576
2018-07-21,23072.514,23160.107,22964.713,23096.506,234316.69,112.76727,146.8049,130.9847,84.98447,82.98492,76.06069,82.21297
2018-07-24,22852.791,22928.303,22743.754,22859.13,186734.88,111.08907,146.19597,130.00345,84.57404,82.611786,75.70389,81.703125
2018-07-25,22953.334,23035.406,22843.61,22969.38,180233.16,111.368774,146.27747,130.07101,84.5749,82.1995,75.54931,81.51042
2018-07-26,23060.428,23127.078,22950.287,23060.332,181012.5,111.63745,146.77354,130.09317,84.7085,82.73687,75.869,81.76109
2018-07-27,23035.486,23106.781,22920.63,23034.088,181829.94,110.79951,146.62404,130.02815,84.88576,82.624756,75.8464,81.58764
2018-07-28,23132.086,23205.14,23036.307,23159.021,163250.22,111.54409,146.67178,129.71167,85.21104,82.39295,75.47397,81.72491
2018-07-31,22991.168,23062.557,22880.89,23000.79,159752.88,111.344055,145.65617,129.42453,84.86623,82.14377,75.45387,81.68418
2018-08-01,22973.453,23064.082,22855.361,22988.504,238225.94,111.331436,146.08594,130.23846,85.17874,82.30066,75.9733,81.620705
2018-08-02,23202.97,23267.197,23101.676,23209.232,195345.38,112.224525,147.56317,130.96875,86.09556,83.217125,76.220314,82.322945
2018-08-03,22936.969,23017.041,22823.734,22952.266,237668.75,111.83253,146.9588,130.4268,85.64268,82.565315,75.70892,82.06663
2018-08-04,22949.912,23023.953,22860.7,22984.086,192515.19,111.95792,146.02672,129.41586,85.614235,82.35755,75.04794,81.807144
2018-08-07,22999.53,23065.277,22899.29,23018.467,165717.97,111.74069,144.91893,128.7024,85.22847,82.23102,74.999855,81.5992
2018-08-08,23053.514,23125.326,22951.555,23075.395,170149.38,111.762596,144.60568,128.88673,85.4376,82.4452,75.010994,81.57705
2018-08-09,23129.04,23204.828,23020.307,23147.475,181149.94,111.9553,144.39581,129.331,85.11296,82.632904,75.11832,81.78983
2018-08-10,23006.213,23083.736,22900.434,23035.303,175195.97,111.2383,143.4496,128.7325,84.94883,82.57332,74.0896,81.55597
2018-08-11,22712.402,22827.086,22617.5,22786.562,254028.52,110.85217,141.98808,127.44136,84.4317,81.62742,73.151665,81.0934
2018-08-14,22344.79,22493.514,22224.47,22426.121,403552.88,110.47888,141.19206,126.18373,84.05953,80.68952,72.97927,80.573875
2018-08-15,22707.64,22824.59,22596.562,22769.95,291975.8,111.29852,142.29672,126.7268,84.34843,80.81439,73.22096,80.75712
2018-08-16,22536.957,22637.148,22445.082,22601.467,237024.28,111.18086,142.04135,126.310394,84.728195,80.65768,73.08194,80.894585
2018-08-17,22565.447,22681.832,22450.617,22625.797,289675.75,111.1608,141.29333,126.24006,84.07648,80.372444,73.10757,80.47745
2018-08-18,22622.842,22719.168,22526.549,22675.852,206478.66,110.939255,141.10776,126.10625,83.91427,80.474205,73.02143,80.661354
2018-08-21,22596.404,22695.385,22496.824,22647.797,227219.03,110.7332,141.296,126.61157,84.25021,80.814514,73.31095,80.73492
2018-08-22,22670.18,22772.588,22567.77,22723.225,222774.47,110.524796,141.61993,126.92078,84.14958,81.021866,73.41886,80.633766
2018-08-23,22791.605,22885.387,22688.691,22832.596,184367.72,110.78274,142.82994,127.70504,84.44114,81.39964,74.23084,80.93703
2018-08-24,22835.875,22922.332,22724.11,22863.729,205269.25,111.12532,143.79678,128.352,85.00486,81.38481,74.2404,81.25219
2018-08-25,22934.3,23025.883,22828.047,22973.098,236915.62,111.948685,143.49211,128.7331,85.07117,81.17622,73.98179,81.40246
2018-08-28,23145.111,23226.883,23033.988,23160.45,249361.0,111.78778,142.98909,129.13977,85.272224,81.7169,74.45859,81.60805
2018-08-29,23197.043,23293.879,23089.066,23226.596,274813.72,111.50409,143.78287,129.78754,85.63963,81.9448,74.5511,81.73882
2018-08-30,23297.2,23386.771,23200.717,23336.504,237914.16,111.96359,144.39381,130.0391,86.02615,82.237816,74.92216,81.89729
2018-08-31,23337.656,23425.453,23230.521,23366.197,266677.97,112.5469,146.41202,130.70465,86.50889,82.444885,75.20686,82.27588
2018-09-01,23250.996,23335.56,23140.932,23290.963,227328.25,112.262375,146.67911,129.97957,85.75842,81.83218,74.368996,81.858574
